Snail.ID	size	species	time.emerge	Trial	time	x	y
7	2.1	native	15	dry	140	0.7	1.5
7	2.1	native	15	dry	150	0.9	1.5
7	2.1	native	15	dry	160	1	1.5
7	2.1	native	15	dry	170	0.9	1.5
7	2.1	native	15	dry	180	0.8	1.3
7	2.1	native	15	dry	190	0.7	1.3
7	2.1	native	15	dry	200	0.6	1.1
7	2.1	native	15	dry	210	0.6	1
7	2.1	native	15	dry	220	0.5	0.6
7	2.1	native	15	dry	230	0.7	0.1
7	2.1	native	15	dry	240	0.7	-0.3
7	2.1	native	15	dry	250	0.6	-0.4
7	2.1	native	15	dry	260	0.6	-0.6
7	2.1	native	15	dry	270	0.8	-0.9
7	2.1	native	15	dry	280	0.8	-1.2
7	2.1	native	15	dry	290	1	-1.2
7	2.1	native	15	dry	300	1	-1.3
7	2.1	native	15	wet	0	0	0
7	2.1	native	15	wet	10	0	0
7	2.1	native	15	wet	20	0	0
7	2.1	native	15	wet	30	0	0
7	2.1	native	15	wet	40	0	0
7	2.1	native	15	wet	50	0	0
7	2.1	native	15	wet	60	0	0
7	2.1	native	15	wet	70	0	0
7	2.1	native	15	wet	80	0	0
7	2.1	native	15	wet	90	0	0
7	2.1	native	15	wet	100	0	0
7	2.1	native	15	wet	110	0	0
7	2.1	native	15	wet	120	0	0
7	2.1	native	15	wet	130	0	0
7	2.1	native	15	wet	140	0	0
7	2.1	native	15	wet	150	0	0
7	2.1	native	15	wet	160	0	0
7	2.1	native	15	wet	170	0	0
7	2.1	native	15	wet	180	0	0
7	2.1	native	15	wet	190	0	0
7	2.1	native	15	wet	200	0	0
7	2.1	native	15	wet	210	0	0
7	2.1	native	15	wet	220	0	0
7	2.1	native	15	wet	230	0	0
7	2.1	native	15	wet	240	0	0
7	2.1	native	15	wet	250	0	0
7	2.1	native	15	wet	260	0	0
7	2.1	native	15	wet	270	0	0
7	2.1	native	15	wet	280	0	0
7	2.1	native	15	wet	290	0	0
7	2.1	native	15	wet	300	0	0
11	2.8	non	3	dry	0	0	0
11	2.8	non	3	dry	10	-0.5	-0.1
11	2.8	non	3	dry	20	-0.5	0.5
11	2.8	non	3	dry	30	-0.8	1.4
11	2.8	non	3	dry	40	-1	1.4
11	2.8	non	3	dry	50	-1.3	1.5
11	2.8	non	3	dry	60	-1.3	1.9
11	2.8	non	3	dry	70	-1.3	2.2
11	2.8	non	3	dry	80	-1.7	2.5
11	2.8	non	3	dry	90	-2.3	2.5
11	2.8	non	3	dry	100	-3.1	2.5
11	2.8	non	3	dry	110	-3.4	2.3
11	2.8	non	3	dry	120	-3.7	2.6
11	2.8	non	3	dry	130	-3.8	2.6
11	2.8	non	3	dry	140	-3.6	2.6
11	2.8	non	3	dry	150	-3.7	2.6
11	2.8	non	3	dry	160	-4.1	2.6
11	2.8	non	3	dry	170	-4.2	2.4
11	2.8	non	3	dry	180	-4.4	1.8
11	2.8	non	3	dry	190	-4.6	1.1
11	2.8	non	3	dry	200	-5	1.1
11	2.8	non	3	dry	210	-5.3	0.8
11	2.8	non	3	dry	220	-5.6	-0.4
11	2.8	non	3	dry	230	-6.3	-1
11	2.8	non	3	dry	240	-6.1	-1.5
11	2.8	non	3	dry	250	-6.4	-1.9
11	2.8	non	3	dry	260	-6.5	-2.5
11	2.8	non	3	dry	270	-6.5	-3.4
11	2.8	non	3	dry	280	-6.7	-3.8
11	2.8	non	3	dry	290	-6.8	-4.3
11	2.8	non	3	dry	300	-6.9	-5
11	2.8	non	3	wet	0	0	0
11	2.8	non	3	wet	10	-0.2	0
11	2.8	non	3	wet	20	-0.1	0
11	2.8	non	3	wet	30	-0.4	0
11	2.8	non	3	wet	40	-0.3	0
11	2.8	non	3	wet	50	-0.5	0
11	2.8	non	3	wet	60	-1	0.5
11	2.8	non	3	wet	70	-1.3	0.9
11	2.8	non	3	wet	80	-1.4	0.9
11	2.8	non	3	wet	90	-1.8	1
11	2.8	non	3	wet	100	-2.1	1.1
11	2.8	non	3	wet	110	-2.4	1.2
11	2.8	non	3	wet	120	-2.7	1.3
11	2.8	non	3	wet	130	-2.8	1.3
11	2.8	non	3	wet	140	-2.8	1.6
